cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2010,199,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2011,175,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2012,210,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2013,183,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2014,144,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2015,198,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2016,159,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2017,172,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2018,172,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2019,147,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2020,141,Defunciones registradas
31,Yucatán,0,Estatal,1002000036,Defunciones registradas de menores de un año. Mujeres,2021,126,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,1994,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,1995,2,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,1996,2,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,1997,4,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,1998,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,1999,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2000,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2001,3,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2002,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2003,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2004,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2005,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2006,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2007,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2008,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2009,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2010,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2011,3,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2012,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2013,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2014,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2015,4,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2016,5,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2017,3,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2018,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2019,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000037,Defunciones registradas de menores de un año. Sexo no especificado,2020,3,Defunciones registradas
